hgnc_symbol,uniprot_gn_id,uniprot_gn_symbol,go_id,namespace_1003,name_1006
ACTL6A,O96019,ACTL6A,GO:0030071,biological_process,regulation of mitotic metaphase/anaphase transition
ACTL6A,O96019,ACTL6A,GO:0045582,biological_process,positive regulation of T cell differentiation
ACTL6A,O96019,ACTL6A,GO:0045597,biological_process,positive regulation of cell differentiation
ACTL6A,O96019,ACTL6A,GO:0045663,biological_process,positive regulation of myoblast differentiation
ACTL6A,O96019,ACTL6A,GO:0070316,biological_process,regulation of G0 to G1 transition
ACTL6A,O96019,ACTL6A,GO:1902459,biological_process,positive regulation of stem cell population maintenance
ACTL6A,O96019,ACTL6A,GO:2000045,biological_process,regulation of G1/S transition of mitotic cell cycle
ACTL6A,O96019,ACTL6A,GO:2000781,biological_process,positive regulation of double-strand break repair
ACTL6A,O96019,ACTL6A,GO:2000819,biological_process,regulation of nucleotide-excision repair
ACTL6A,O96019,ACTL6A,GO:0035060,cellular_component,brahma complex
ACTL6A,O96019,ACTL6A,GO:0071564,cellular_component,npBAF complex
ACTL6A,O96019,ACTL6A,GO:0000776,cellular_component,kinetochore
ACTL6A,O96019,ACTL6A,GO:0006355,biological_process,regulation of DNA-templated transcription
ACTL6A,O96019,ACTL6A,GO:0000786,cellular_component,nucleosome
ACTL6A,O96019,ACTL6A,GO:0042981,biological_process,regulation of apoptotic process
ACTL6A,O96019,ACTL6A,GO:0006275,biological_process,regulation of DNA replication
ACTL6A,O96019,ACTL6A,GO:0005886,cellular_component,plasma membrane
ACTL6A,O96019,ACTL6A,GO:0031492,molecular_function,nucleosomal DNA binding
ACTL6A,O96019,ACTL6A,GO:0045995,biological_process,regulation of embryonic development
ACTL6A,O96019,ACTL6A,GO:0051726,biological_process,regulation of cell cycle
ACTL6A,O96019,ACTL6A,GO:0008284,biological_process,positive regulation of cell population proliferation
ACTL6A,O96019,ACTL6A,GO:0045596,biological_process,negative regulation of cell differentiation
ACTL6A,O96019,ACTL6A,GO:0016363,cellular_component,nuclear matrix
ACTL6A,O96019,ACTL6A,GO:0016586,cellular_component,RSC-type complex
ACTL6A,O96019,ACTL6A,GO:0140288,cellular_component,GBAF complex
ACTL6A,O96019,ACTL6A,GO:1905168,biological_process,positive regulation of double-strand break repair via homologous recombination
ACTL6A,O96019,ACTL6A,GO:2000779,biological_process,regulation of double-strand break repair
ACTL6A,O96019,ACTL6A,GO:0000723,biological_process,telomere maintenance
ACTL6A,O96019,ACTL6A,GO:0003407,biological_process,neural retina development
ACTL6A,O96019,ACTL6A,GO:0033044,biological_process,regulation of chromosome organization
ACTL6A,O96019,ACTL6A,GO:0045739,biological_process,positive regulation of DNA repair
ACTL6A,O96019,ACTL6A,GO:0060382,biological_process,regulation of DNA strand elongation
ACTL6A,O96019,ACTL6A,GO:1904507,biological_process,positive regulation of telomere maintenance in response to DNA damage
ACTL6A,O96019,ACTL6A,,,
ACTL6A,O96019,ACTL6A,GO:0001825,biological_process,blastocyst formation
ACTL6A,O96019,ACTL6A,GO:0021510,biological_process,spinal cord development
ACTL6B,C9JQT4,ACTL6B,GO:0005634,cellular_component,nucleus
ACTL6B,C9JQT4,ACTL6B,GO:0045893,biological_process,positive regulation of DNA-templated transcription
ACTL6B,C9JQT4,ACTL6B,GO:0007399,biological_process,nervous system development
ACTL6B,C9JQT4,ACTL6B,GO:0006325,biological_process,chromatin organization
ACTL6B,C9JQT4,ACTL6B,GO:0007010,biological_process,cytoskeleton organization
ACTL6B,C9JQT4,ACTL6B,GO:0006357,biological_process,regulation of transcription by RNA polymerase II
ACTL6B,C9JQT4,ACTL6B,GO:0016514,cellular_component,SWI/SNF complex
ACTL6B,C9JQT4,ACTL6B,GO:0003682,molecular_function,chromatin binding
ACTL6B,C9JQT4,ACTL6B,GO:0042551,biological_process,neuron maturation
ACTL6B,C9JQT4,ACTL6B,GO:0035267,cellular_component,NuA4 histone acetyltransferase complex
ACTL6B,C9JQT4,ACTL6B,GO:0000785,cellular_component,chromatin
ACTL6B,C9JQT4,ACTL6B,GO:0006338,biological_process,chromatin remodeling
ACTL6B,C9JQT4,ACTL6B,GO:0003713,molecular_function,transcription coactivator activity
ACTL6B,C9JQT4,ACTL6B,GO:0005200,molecular_function,structural constituent of cytoskeleton
ACTL6B,C9JQT4,ACTL6B,GO:0016358,biological_process,dendrite development
ACTL6B,C9JQT4,ACTL6B,GO:0030071,biological_process,regulation of mitotic metaphase/anaphase transition
ACTL6B,C9JQT4,ACTL6B,GO:0045582,biological_process,positive regulation of T cell differentiation
ACTL6B,C9JQT4,ACTL6B,GO:0045597,biological_process,positive regulation of cell differentiation
ACTL6B,C9JQT4,ACTL6B,GO:0045663,biological_process,positive regulation of myoblast differentiation
ACTL6B,C9JQT4,ACTL6B,GO:0070316,biological_process,regulation of G0 to G1 transition
ACTL6B,C9JQT4,ACTL6B,GO:1902459,biological_process,positive regulation of stem cell population maintenance
ACTL6B,C9JQT4,ACTL6B,GO:2000045,biological_process,regulation of G1/S transition of mitotic cell cycle
ACTL6B,C9JQT4,ACTL6B,GO:2000781,biological_process,positive regulation of double-strand break repair
ACTL6B,C9JQT4,ACTL6B,GO:2000819,biological_process,regulation of nucleotide-excision repair
ACTL6B,C9JQT4,ACTL6B,GO:0035060,cellular_component,brahma complex
ACTL6B,C9JQT4,ACTL6B,GO:0071565,cellular_component,nBAF complex
ACTL6B,C9JQT4,ACTL6B,GO:0140092,cellular_component,bBAF complex
ACTL6B,C9JQT4,ACTL6B,GO:0000776,cellular_component,kinetochore
ACTL6B,C9JQT4,ACTL6B,GO:0008284,biological_process,positive regulation of cell population proliferation
ACTL6B,C9JQT4,ACTL6B,GO:0045596,biological_process,negative regulation of cell differentiation
ACTL6B,C9JQT4,ACTL6B,GO:0016363,cellular_component,nuclear matrix
ACTL6B,C9JQT4,ACTL6B,GO:0016586,cellular_component,RSC-type complex
ACTL6B,C9JQT4,ACTL6B,GO:0140288,cellular_component,GBAF complex
ACTL6B,C9JQT4,ACTL6B,,,
ACTL6B,O94805,ACTL6B,GO:0005634,cellular_component,nucleus
ACTL6B,O94805,ACTL6B,GO:0045893,biological_process,positive regulation of DNA-templated transcription
ACTL6B,O94805,ACTL6B,GO:0007399,biological_process,nervous system development
ACTL6B,O94805,ACTL6B,GO:0006325,biological_process,chromatin organization
ACTL6B,O94805,ACTL6B,GO:0007010,biological_process,cytoskeleton organization
ACTL6B,O94805,ACTL6B,GO:0006357,biological_process,regulation of transcription by RNA polymerase II
ACTL6B,O94805,ACTL6B,GO:0016514,cellular_component,SWI/SNF complex
ACTL6B,O94805,ACTL6B,GO:0003682,molecular_function,chromatin binding
ACTL6B,O94805,ACTL6B,GO:0042551,biological_process,neuron maturation
ACTL6B,O94805,ACTL6B,GO:0035267,cellular_component,NuA4 histone acetyltransferase complex
ACTL6B,O94805,ACTL6B,GO:0000785,cellular_component,chromatin
ACTL6B,O94805,ACTL6B,GO:0006338,biological_process,chromatin remodeling
ACTL6B,O94805,ACTL6B,GO:0003713,molecular_function,transcription coactivator activity
ACTL6B,O94805,ACTL6B,GO:0005200,molecular_function,structural constituent of cytoskeleton
ACTL6B,O94805,ACTL6B,GO:0016358,biological_process,dendrite development
ACTL6B,O94805,ACTL6B,GO:0030071,biological_process,regulation of mitotic metaphase/anaphase transition
ACTL6B,O94805,ACTL6B,GO:0045582,biological_process,positive regulation of T cell differentiation
ACTL6B,O94805,ACTL6B,GO:0045597,biological_process,positive regulation of cell differentiation
ACTL6B,O94805,ACTL6B,GO:0045663,biological_process,positive regulation of myoblast differentiation
ACTL6B,O94805,ACTL6B,GO:0070316,biological_process,regulation of G0 to G1 transition
ACTL6B,O94805,ACTL6B,GO:1902459,biological_process,positive regulation of stem cell population maintenance
ACTL6B,O94805,ACTL6B,GO:2000045,biological_process,regulation of G1/S transition of mitotic cell cycle
ACTL6B,O94805,ACTL6B,GO:2000781,biological_process,positive regulation of double-strand break repair
ACTL6B,O94805,ACTL6B,GO:2000819,biological_process,regulation of nucleotide-excision repair
ACTL6B,O94805,ACTL6B,GO:0035060,cellular_component,brahma complex
ACTL6B,O94805,ACTL6B,GO:0071565,cellular_component,nBAF complex
ACTL6B,O94805,ACTL6B,GO:0140092,cellular_component,bBAF complex
ACTL6B,O94805,ACTL6B,GO:0000776,cellular_component,kinetochore
ACTL6B,O94805,ACTL6B,GO:0008284,biological_process,positive regulation of cell population proliferation
ACTL6B,O94805,ACTL6B,GO:0045596,biological_process,negative regulation of cell differentiation
ACTL6B,O94805,ACTL6B,GO:0016363,cellular_component,nuclear matrix
ACTL6B,O94805,ACTL6B,GO:0016586,cellular_component,RSC-type complex
ACTL6B,O94805,ACTL6B,GO:0140288,cellular_component,GBAF complex
ACTL6B,O94805,ACTL6B,,,
ACTR10,G3V2Q5,ACTR10,GO:0005737,cellular_component,cytoplasm
ACTR10,G3V2Q5,ACTR10,GO:0005856,cellular_component,cytoskeleton
ACTR10,G3V2Q5,ACTR10,GO:0005515,molecular_function,protein binding
ACTR10,G3V2Q5,ACTR10,GO:0005576,cellular_component,extracellular region
ACTR10,G3V2Q5,ACTR10,GO:1904115,cellular_component,axon cytoplasm
ACTR10,G3V2Q5,ACTR10,GO:0005829,cellular_component,cytosol
ACTR10,G3V2Q5,ACTR10,GO:1904813,cellular_component,ficolin-1-rich granule lumen
ACTR10,G3V2Q5,ACTR10,GO:0005869,cellular_component,dynactin complex
ACTR10,G3V2Q5,ACTR10,GO:0035578,cellular_component,azurophil granule lumen
ACTR10,G3V2Q5,ACTR10,GO:0007018,biological_process,microtubule-based movement
ACTR10,G3V2Q5,ACTR10,GO:0098958,biological_process,retrograde axonal transport of mitochondrion
ACTR10,G3V2Q5,ACTR10,,,
ACTR10,F6S9Y6,ACTR10,GO:0005737,cellular_component,cytoplasm
ACTR10,F6S9Y6,ACTR10,GO:0005856,cellular_component,cytoskeleton
ACTR10,F6S9Y6,ACTR10,GO:0005515,molecular_function,protein binding
ACTR10,F6S9Y6,ACTR10,GO:0005576,cellular_component,extracellular region
ACTR10,F6S9Y6,ACTR10,GO:1904115,cellular_component,axon cytoplasm
ACTR10,F6S9Y6,ACTR10,GO:0005829,cellular_component,cytosol
ACTR10,F6S9Y6,ACTR10,GO:1904813,cellular_component,ficolin-1-rich granule lumen
ACTR10,F6S9Y6,ACTR10,GO:0005869,cellular_component,dynactin complex
ACTR10,F6S9Y6,ACTR10,GO:0035578,cellular_component,azurophil granule lumen
ACTR10,F6S9Y6,ACTR10,GO:0007018,biological_process,microtubule-based movement
ACTR10,F6S9Y6,ACTR10,GO:0098958,biological_process,retrograde axonal transport of mitochondrion
ACTR10,F6S9Y6,ACTR10,,,
ACTR10,G3V5Y4,ACTR10,GO:0005737,cellular_component,cytoplasm
ACTR10,G3V5Y4,ACTR10,GO:0005856,cellular_component,cytoskeleton
ACTR10,G3V5Y4,ACTR10,GO:0005515,molecular_function,protein binding
ACTR10,G3V5Y4,ACTR10,GO:0005576,cellular_component,extracellular region
ACTR10,G3V5Y4,ACTR10,GO:1904115,cellular_component,axon cytoplasm
ACTR10,G3V5Y4,ACTR10,GO:0005829,cellular_component,cytosol
ACTR10,G3V5Y4,ACTR10,GO:1904813,cellular_component,ficolin-1-rich granule lumen
ACTR10,G3V5Y4,ACTR10,GO:0005869,cellular_component,dynactin complex
ACTR10,G3V5Y4,ACTR10,GO:0035578,cellular_component,azurophil granule lumen
ACTR10,G3V5Y4,ACTR10,GO:0007018,biological_process,microtubule-based movement
ACTR10,G3V5Y4,ACTR10,GO:0098958,biological_process,retrograde axonal transport of mitochondrion
ACTR10,G3V5Y4,ACTR10,,,
ACTR10,G3V4K6,ACTR10,GO:0005737,cellular_component,cytoplasm
ACTR10,G3V4K6,ACTR10,GO:0005856,cellular_component,cytoskeleton
ACTR10,G3V4K6,ACTR10,GO:0005515,molecular_function,protein binding
ACTR10,G3V4K6,ACTR10,GO:0005576,cellular_component,extracellular region
ACTR10,G3V4K6,ACTR10,GO:1904115,cellular_component,axon cytoplasm
ACTR10,G3V4K6,ACTR10,GO:0005829,cellular_component,cytosol
ACTR10,G3V4K6,ACTR10,GO:1904813,cellular_component,ficolin-1-rich granule lumen
ACTR10,G3V4K6,ACTR10,GO:0005869,cellular_component,dynactin complex
ACTR10,G3V4K6,ACTR10,GO:0035578,cellular_component,azurophil granule lumen
ACTR10,G3V4K6,ACTR10,GO:0007018,biological_process,microtubule-based movement
ACTR10,G3V4K6,ACTR10,GO:0098958,biological_process,retrograde axonal transport of mitochondrion
ACTR10,G3V4K6,ACTR10,,,
ACTR10,G3V524,ACTR10,GO:0005737,cellular_component,cytoplasm
ACTR10,G3V524,ACTR10,GO:0005856,cellular_component,cytoskeleton
ACTR10,G3V524,ACTR10,GO:0005515,molecular_function,protein binding
ACTR10,G3V524,ACTR10,GO:0005576,cellular_component,extracellular region
ACTR10,G3V524,ACTR10,GO:1904115,cellular_component,axon cytoplasm
ACTR10,G3V524,ACTR10,GO:0005829,cellular_component,cytosol
ACTR10,G3V524,ACTR10,GO:1904813,cellular_component,ficolin-1-rich granule lumen
ACTR10,G3V524,ACTR10,GO:0005869,cellular_component,dynactin complex
ACTR10,G3V524,ACTR10,GO:0035578,cellular_component,azurophil granule lumen
ACTR10,G3V524,ACTR10,GO:0007018,biological_process,microtubule-based movement
ACTR10,G3V524,ACTR10,GO:0098958,biological_process,retrograde axonal transport of mitochondrion
ACTR10,G3V524,ACTR10,,,
ACTR10,Q9NZ32,ACTR10,GO:0005737,cellular_component,cytoplasm
ACTR10,Q9NZ32,ACTR10,GO:0005856,cellular_component,cytoskeleton
ACTR10,Q9NZ32,ACTR10,GO:0005515,molecular_function,protein binding
ACTR10,Q9NZ32,ACTR10,GO:0005576,cellular_component,extracellular region
ACTR10,Q9NZ32,ACTR10,GO:1904115,cellular_component,axon cytoplasm
ACTR10,Q9NZ32,ACTR10,GO:0005829,cellular_component,cytosol
ACTR10,Q9NZ32,ACTR10,GO:1904813,cellular_component,ficolin-1-rich granule lumen
ACTR10,Q9NZ32,ACTR10,GO:0005869,cellular_component,dynactin complex
ACTR10,Q9NZ32,ACTR10,GO:0035578,cellular_component,azurophil granule lumen
ACTR10,Q9NZ32,ACTR10,GO:0007018,biological_process,microtubule-based movement
ACTR10,Q9NZ32,ACTR10,GO:0098958,biological_process,retrograde axonal transport of mitochondrion
ACTR10,Q9NZ32,ACTR10,,,
ADAT2,Q7Z6V5,ADAT2,GO:0008270,molecular_function,zinc ion binding
ADAT2,Q7Z6V5,ADAT2,GO:0003824,molecular_function,catalytic activity
ADAT2,Q7Z6V5,ADAT2,GO:0016787,molecular_function,hydrolase activity
ADAT2,Q7Z6V5,ADAT2,GO:0008251,molecular_function,tRNA-specific adenosine deaminase activity
ADAT2,Q7Z6V5,ADAT2,GO:0002100,biological_process,tRNA wobble adenosine to inosine editing
ADAT2,Q7Z6V5,ADAT2,GO:0008033,biological_process,tRNA processing
ADAT2,Q7Z6V5,ADAT2,GO:0046872,molecular_function,metal ion binding
ADAT2,Q7Z6V5,ADAT2,GO:0005515,molecular_function,protein binding
ADAT2,Q7Z6V5,ADAT2,GO:0005654,cellular_component,nucleoplasm
ADAT2,Q7Z6V5,ADAT2,GO:0052717,molecular_function,tRNA-specific adenosine-34 deaminase activity
ADAT2,Q7Z6V5,ADAT2,,,
AGBL4,B1AMW3,AGBL4,GO:0008270,molecular_function,zinc ion binding
AGBL4,B1AMW3,AGBL4,GO:0006508,biological_process,proteolysis
AGBL4,B1AMW3,AGBL4,GO:0004181,molecular_function,metallocarboxypeptidase activity
AGBL4,B1AMW3,AGBL4,GO:0005737,cellular_component,cytoplasm
AGBL4,B1AMW3,AGBL4,GO:0005794,cellular_component,Golgi apparatus
AGBL4,B1AMW3,AGBL4,GO:0042995,cellular_component,cell projection
AGBL4,B1AMW3,AGBL4,GO:0046872,molecular_function,metal ion binding
AGBL4,B1AMW3,AGBL4,GO:0016787,molecular_function,hydrolase activity
AGBL4,B1AMW3,AGBL4,GO:0005856,cellular_component,cytoskeleton
AGBL4,B1AMW3,AGBL4,GO:0051607,biological_process,defense response to virus
AGBL4,B1AMW3,AGBL4,GO:0005829,cellular_component,cytosol
AGBL4,B1AMW3,AGBL4,GO:0008233,molecular_function,peptidase activity
AGBL4,B1AMW3,AGBL4,GO:0008237,molecular_function,metallopeptidase activity
AGBL4,B1AMW3,AGBL4,GO:0004180,molecular_function,carboxypeptidase activity
AGBL4,B1AMW3,AGBL4,GO:0005814,cellular_component,centriole
AGBL4,B1AMW3,AGBL4,GO:1904115,cellular_component,axon cytoplasm
AGBL4,B1AMW3,AGBL4,GO:0036064,cellular_component,ciliary basal body
AGBL4,B1AMW3,AGBL4,GO:0015631,molecular_function,tubulin binding
AGBL4,B1AMW3,AGBL4,GO:0030424,cellular_component,axon
AGBL4,B1AMW3,AGBL4,GO:0035610,biological_process,protein side chain deglutamylation
AGBL4,B1AMW3,AGBL4,GO:0008285,biological_process,negative regulation of cell population proliferation
AGBL4,B1AMW3,AGBL4,GO:0021954,biological_process,central nervous system neuron development
AGBL4,B1AMW3,AGBL4,GO:0035608,biological_process,protein deglutamylation
AGBL4,B1AMW3,AGBL4,GO:0035609,biological_process,C-terminal protein deglutamylation
AGBL4,B1AMW3,AGBL4,GO:0098930,biological_process,axonal transport
AGBL4,B1AMW3,AGBL4,GO:0098957,biological_process,anterograde axonal transport of mitochondrion
AGBL4,B1AMW3,AGBL4,GO:0098958,biological_process,retrograde axonal transport of mitochondrion
AGBL4,B1AMW3,AGBL4,GO:0120222,biological_process,regulation of blastocyst development
AGBL4,B1AMW3,AGBL4,GO:2000060,biological_process,positive regulation of ubiquitin-dependent protein catabolic process
AGBL4,B1AMW3,AGBL4,,,
AGBL4,B1ANV5,AGBL4,GO:0008270,molecular_function,zinc ion binding
AGBL4,B1ANV5,AGBL4,GO:0006508,biological_process,proteolysis
AGBL4,B1ANV5,AGBL4,GO:0004181,molecular_function,metallocarboxypeptidase activity
AGBL4,B1ANV5,AGBL4,GO:0005737,cellular_component,cytoplasm
AGBL4,B1ANV5,AGBL4,GO:0005794,cellular_component,Golgi apparatus
AGBL4,B1ANV5,AGBL4,GO:0042995,cellular_component,cell projection
AGBL4,B1ANV5,AGBL4,GO:0046872,molecular_function,metal ion binding
AGBL4,B1ANV5,AGBL4,GO:0016787,molecular_function,hydrolase activity
AGBL4,B1ANV5,AGBL4,GO:0005856,cellular_component,cytoskeleton
AGBL4,B1ANV5,AGBL4,GO:0051607,biological_process,defense response to virus
AGBL4,B1ANV5,AGBL4,GO:0005829,cellular_component,cytosol
AGBL4,B1ANV5,AGBL4,GO:0008233,molecular_function,peptidase activity
AGBL4,B1ANV5,AGBL4,GO:0008237,molecular_function,metallopeptidase activity
AGBL4,B1ANV5,AGBL4,GO:0004180,molecular_function,carboxypeptidase activity
AGBL4,B1ANV5,AGBL4,GO:0005814,cellular_component,centriole
AGBL4,B1ANV5,AGBL4,GO:1904115,cellular_component,axon cytoplasm
AGBL4,B1ANV5,AGBL4,GO:0036064,cellular_component,ciliary basal body
AGBL4,B1ANV5,AGBL4,GO:0015631,molecular_function,tubulin binding
AGBL4,B1ANV5,AGBL4,GO:0030424,cellular_component,axon
AGBL4,B1ANV5,AGBL4,GO:0035610,biological_process,protein side chain deglutamylation
AGBL4,B1ANV5,AGBL4,GO:0008285,biological_process,negative regulation of cell population proliferation
AGBL4,B1ANV5,AGBL4,GO:0021954,biological_process,central nervous system neuron development
AGBL4,B1ANV5,AGBL4,GO:0035608,biological_process,protein deglutamylation
AGBL4,B1ANV5,AGBL4,GO:0035609,biological_process,C-terminal protein deglutamylation
AGBL4,B1ANV5,AGBL4,GO:0098930,biological_process,axonal transport
AGBL4,B1ANV5,AGBL4,GO:0098957,biological_process,anterograde axonal transport of mitochondrion
AGBL4,B1ANV5,AGBL4,GO:0098958,biological_process,retrograde axonal transport of mitochondrion
AGBL4,B1ANV5,AGBL4,GO:0120222,biological_process,regulation of blastocyst development
AGBL4,B1ANV5,AGBL4,GO:2000060,biological_process,positive regulation of ubiquitin-dependent protein catabolic process
AGBL4,B1ANV5,AGBL4,,,
AGBL4,Q5VU57,AGBL4,GO:0008270,molecular_function,zinc ion binding
AGBL4,Q5VU57,AGBL4,GO:0006508,biological_process,proteolysis
AGBL4,Q5VU57,AGBL4,GO:0004181,molecular_function,metallocarboxypeptidase activity
AGBL4,Q5VU57,AGBL4,GO:0005737,cellular_component,cytoplasm
AGBL4,Q5VU57,AGBL4,GO:0005794,cellular_component,Golgi apparatus
AGBL4,Q5VU57,AGBL4,GO:0042995,cellular_component,cell projection
AGBL4,Q5VU57,AGBL4,GO:0046872,molecular_function,metal ion binding
